ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
227909_at	LINC00086	 	 	1.405	1.61E-02	 	 
220399_at	LINC00115	 	 	 	 	2	6.83E-03
1552258_at	LINC00152	-1.483	4.10E-02	 	 	 	 
1552466_x_at	LINC00161	 	 	 	 	1.251	3.57E-02
1562413_at	LINC00167	1.173	3.64E-02	 	 	 	 
237088_at	LINC00244	 	 	 	 	-1.51	2.28E-02
228004_at	LINC00261	 	 	 	 	1.293	1.38E-02
232953_at	LINC00266-1	 	 	 	 	-1.099	1.86E-02
237326_at	LINC00310	 	 	 	 	1.284	2.22E-02
1552856_at	LINC00311	-1.369	2.97E-02	 	 	 	 
239968_at	LINC00313	 	 	 	 	-1.204	5.16E-03
1553519_at	LINC00314	 	 	1.277	1.06E-02	1.275	3.24E-02
236631_at	LINC00319	 	 	-1.282	2.16E-02	 	 
221621_at	LINC00338	1.76	2.80E-02	1.748	4.27E-02	 	 
241522_at	LINC00454	 	 	1.199	7.75E-03	 	 
230272_at	LINC00461	 	 	 	 	-1.399	3.19E-02
220324_at	LINC00472	-1.336	3.84E-02	 	 	 	 
233525_s_at	LINC00475	 	 	1.494	3.03E-02	 	 
239799_at	LINC00476	 	 	 	 	-2.073	2.05E-02
1563083_s_at	LINC00486	 	 	-1.198	4.67E-02	 	 
236854_at	LINC00494	-1.3	8.34E-03	 	 	 	 
230525_at	LINC00514	 	 	1.277	1.27E-02	1.777	2.72E-03
1556414_at	LINC00515	 	 	 	 	1.473	1.83E-02
232034_at	LINC00537	 	 	 	 	-1.583	3.77E-02
1562173_a_at	LINC00555	 	 	-1.384	4.85E-02	 	 
1563568_at	LINC00559	1.232	1.91E-02	 	 	 	 
232718_at	LINC00589	 	 	 	 	-1.085	4.65E-02
1558195_at	LINC00592	-2.305	4.16E-02	-2.526	7.10E-03	-2.028	7.73E-03
1554715_at	LINC00593	 	 	-1.337	3.79E-02	 	 
239507_at	LINC00608	 	 	 	 	1.484	4.64E-02
1560851_at	LINC00619	1.15	2.67E-02	 	 	 	 
222001_x_at	LINC00623	-1.203	3.45E-03	 	 	 	 
229429_x_at	LINC00623	-1.283	1.27E-02	-1.169	4.54E-02	 	 
1557133_at	LINC00632	 	 	-1.242	1.82E-02	 	 
1560514_at	LINC00636	 	 	-1.797	2.36E-02	 	 
1557657_a_at	LINC00642	-1.424	2.77E-02	 	 	 	 
1557656_at	LINC00642	 	 	-1.518	4.92E-02	 	 
231186_at	LINC00643	 	 	1.132	2.55E-02	 	 
1554382_at	LINC00656	 	 	-1.667	1.84E-02	-1.425	4.98E-02
1558028_x_at	LINC00657	 	 	 	 	-1.219	2.23E-03
1569318_at	LINC00663	-1.452	8.30E-03	-1.171	1.88E-02	 	 
240365_at	LINC00669	 	 	 	 	1.739	4.82E-02
227567_at	LINC00674	 	 	-1.538	4.35E-03	-1.354	1.03E-02
225055_at	LINC00674	 	 	 	 	-1.525	1.05E-03
236753_at	LINC00689	 	 	 	 	1.447	3.80E-02
244325_at	LINC00690	1.125	4.92E-02	 	 	-1.208	4.06E-02
238298_at	LINC00845	 	 	 	 	-1.234	3.16E-02
1556180_at	LINC00847	-1.213	3.03E-02	 	 	 	 
244701_at	LINC00856	 	 	 	 	-1.927	6.44E-03
232239_at	LINC00865	-1.356	2.34E-02	-1.502	4.25E-03	 	 
1564204_at	LINC00869	 	 	1.713	2.11E-02	-1.272	3.04E-02
239466_at	LINC00883	 	 	 	 	-1.721	2.52E-02
228275_at	LINC00888	 	 	-1.861	7.32E-03	-1.636	2.44E-02
236798_at	LINC00888	 	 	 	 	-1.912	3.98E-02
1569315_s_at	LINC00894	 	 	 	 	1.233	2.96E-02
1556617_a_at	LINC00901	 	 	-1.261	6.04E-03	 	 
1558881_at	LINC00924	 	 	-1.46	3.34E-02	 	 
235936_at	LINC00925	 	 	 	 	1.083	4.51E-02
238893_at	LINC00936	 	 	 	 	-1.213	2.11E-02
226413_at	LINC00938	 	 	-1.283	1.10E-02	-1.194	1.36E-02
243905_at	LINC00944	-1.156	4.40E-02	 	 	 	 
1560819_a_at	LINC00944	 	 	-1.652	1.98E-02	1.201	2.15E-02
1564207_at	LINC00957	 	 	-1.542	3.22E-02	-1.461	2.38E-02
1564208_x_at	LINC00957	 	 	-1.687	2.35E-02	 	 
1557371_a_at	LINC00961	 	 	-1.29	3.81E-02	 	 
215185_at	LINC00963	-2.073	4.11E-03	-1.883	9.03E-03	-1.439	1.33E-02
217625_x_at	LINC00963	-1.618	1.46E-02	 	 	 	 
225567_at	LINC00984	1.832	3.76E-02	 	 	 	 
239319_at	LINC00992	 	 	1.115	3.05E-02	 	 
232256_s_at	LINC00997	1.562	1.53E-02	 	 	 	 
232255_at	LINC00997	 	 	-1.35	9.29E-03	 	 
224723_x_at	LINC00998	 	 	-1.292	4.04E-02	 	 
227129_x_at	LINC01000	-1.346	3.91E-02	-1.666	1.87E-02	 	 
234664_at	LINC01001 (includes others)	 	 	 	 	-1.694	2.63E-03
235174_s_at	LINC01003	-1.24	1.75E-03	-1.35	4.84E-04	 	 
235319_at	LINC01004	 	 	-1.215	3.41E-02	 	 
235217_at	LINC01004	 	 	 	 	-1.601	2.28E-02
1557276_at	LINC01016	-1.721	3.75E-02	 	 	-2.466	2.95E-02
1560890_at	LINC01088	 	 	 	 	1.113	4.79E-02
1564595_at	LINC01103	 	 	-1.194	4.42E-02	 	 
229678_at	LINC01137	-1.688	2.90E-03	-1.636	1.45E-02	-1.729	3.37E-02
1559363_at	LINC01146	 	 	1.062	4.05E-02	 	 
243803_at	LINC01171	-1.101	4.55E-02	 	 	 	 
228686_at	LINC01184	-1.565	4.89E-03	 	 	-1.703	7.13E-04
240807_at	LINC01187	 	 	 	 	1.39	2.96E-02
1554456_a_at	LINS	1.201	1.10E-03	 	 	 	 
1554455_at	LINS	 	 	 	 	-1.284	4.75E-02
235871_at	LIPH	-2.534	2.16E-03	-3.162	1.92E-02	-3.239	4.80E-03
1555454_at	LITAF	1.283	2.44E-02	 	 	 	 
200704_at	LITAF	-1.447	1.57E-04	 	 	-1.391	2.51E-04
200706_s_at	LITAF	-1.405	5.98E-03	-1.4	1.81E-03	 	 
230865_at	LIX1	 	 	 	 	-1.143	2.32E-03
203713_s_at	LLGL2	-1.139	1.76E-02	 	 	 	 
224446_at	LLPH	1.295	8.41E-04	1.372	8.45E-03	1.288	1.43E-02
203294_s_at	LMAN1	 	 	 	 	1.908	1.91E-02
220420_at	LMAN1L	 	 	 	 	-1.556	2.59E-02
222505_at	LMBR1	1.642	6.94E-04	1.438	2.92E-02	1.302	1.56E-02
222506_at	LMBR1	1.816	9.48E-03	1.72	5.50E-03	1.382	4.95E-03
224036_s_at	LMBR1	1.58	5.80E-03	 	 	 	 
224410_s_at	LMBR1	1.451	1.80E-03	1.338	2.69E-02	1.108	7.03E-03
218191_s_at	LMBRD1	-1.33	2.97E-02	-1.478	8.04E-03	-1.814	5.16E-03
218574_s_at	LMCD1	1.472	2.89E-04	1.264	1.69E-02	 	 
242767_at	LMCD1	 	 	1.555	2.08E-02	 	 
227984_at	LMF1	 	 	1.464	1.25E-02	 	 
1569872_a_at	LMF1	 	 	 	 	1.985	8.93E-03
244881_at	LMLN	1.273	1.97E-02	1.519	4.35E-02	 	 
203411_s_at	LMNA	-1.153	3.00E-02	 	 	 	 
216952_s_at	LMNB2	1.151	2.35E-02	 	 	 	 
206718_at	LMO1	 	 	 	 	1.795	2.24E-02
204249_s_at	LMO2	 	 	 	 	-1.36	3.01E-02
204424_s_at	LMO3	-1.777	2.29E-02	 	 	-2.339	4.40E-02
209204_at	LMO4	 	 	1.135	2.72E-05	 	 
242722_at	LMO7	 	 	 	 	-1.482	4.57E-02
1564469_at	LMOD3	-1.173	6.85E-03	 	 	 	 
243346_at	LMOD3	 	 	 	 	1.417	4.73E-02
208487_at	LMX1B	1.285	2.82E-02	 	 	-1.233	1.61E-02
227181_at	LNP1	 	 	1.314	2.33E-02	1.292	6.79E-03
231866_at	LNPEP	 	 	-1.21	1.60E-02	-1.56	1.36E-02
225176_at	LNPEP	 	 	 	 	-1.462	4.48E-02
223611_s_at	LNX1	-1.719	1.05E-02	-1.776	3.67E-02	-1.799	8.83E-04
223612_s_at	LNX1	 	 	 	 	-1.537	2.54E-02
227569_at	LNX2	 	 	 	 	-1.116	3.72E-02
1569620_s_at	LOC100128079	 	 	-1.344	2.35E-03	 	 
243957_at	LOC100128108	-1.272	3.22E-02	 	 	 	 
239564_at	LOC100128198	 	 	1.218	4.48E-02	 	 
232849_at	LOC100128988	-1.53	1.04E-02	 	 	 	 
1569361_a_at	LOC100129098	 	 	-1.657	3.40E-02	 	 
221847_at	LOC100129361	-1.219	9.11E-04	-1.231	3.49E-02	-1.318	7.61E-03
1560475_at	LOC100129455	 	 	 	 	-1.26	4.80E-02
1556555_at	LOC100129461	 	 	 	 	1.18	2.77E-02
239643_at	LOC100129516	1.256	1.42E-02	 	 	 	 
234738_s_at	LOC100129637	1.177	3.69E-02	 	 	 	 
1566906_at	LOC100129722	 	 	-1.476	4.09E-02	-1.54	1.37E-02
232616_at	LOC100129935	 	 	 	 	1.53	3.61E-02
242533_at	LOC100130051	-1.287	3.78E-02	1.431	2.36E-02	 	 
1562799_at	LOC100130285	 	 	 	 	1.281	2.67E-02
1555979_at	LOC100130417	-1.566	6.19E-03	 	 	 	 
1555980_a_at	LOC100130417	-1.27	2.11E-02	 	 	 	 
244518_at	LOC100130452	 	 	-1.208	2.62E-02	 	 
244744_at	LOC100130502	 	 	-1.419	4.00E-02	 	 
230195_at	LOC100131138	-1.234	2.99E-02	 	 	 	 
1558152_at	LOC100131262	 	 	1.272	4.55E-03	 	 
1564050_at	LOC100131347	 	 	 	 	-1.878	4.21E-02
227074_at	LOC100131564	 	 	 	 	-1.367	2.52E-02
230073_at	LOC100131564	 	 	 	 	1.705	5.32E-03
1569008_at	LOC100132249	 	 	-1.232	3.31E-02	 	 
213893_x_at	LOC100132832/PMS2P5	 	 	-1.186	3.63E-02	 	 
223766_at	LOC100133130	 	 	1.816	2.26E-03	1.87	1.69E-02
1564280_x_at	LOC100133920	 	 	1.436	3.62E-02	 	 
239612_at	LOC100240734	 	 	-1.347	3.05E-02	 	 
241803_s_at	LOC100240735	 	 	-1.218	3.43E-02	 	 
229722_at	LOC100270804	 	 	 	 	-1.283	1.69E-02
229986_at	LOC100287163/ZNF717	 	 	 	 	1.222	8.31E-03
240752_at	LOC100287808	 	 	 	 	1.257	3.36E-02
1563008_at	LOC100287877	-1.362	3.68E-02	 	 	 	 
211050_x_at	LOC100288069	 	 	 	 	-1.234	2.95E-02
1553009_s_at	LOC100288562/REXO1L1P	-1.208	4.81E-02	 	 	 	 
215247_at	LOC100288570	 	 	-1.835	4.28E-02	 	 
234344_at	LOC100288675	 	 	-1.905	3.48E-02	-1.489	1.63E-02
236656_s_at	LOC100288911	 	 	-1.439	1.08E-02	-2.176	1.35E-02
237737_at	LOC100289026	 	 	 	 	-1.697	3.88E-02
238456_at	LOC100289230	-2.188	2.99E-02	 	 	 	 
1566080_at	LOC100505534	1.267	1.04E-02	 	 	 	 
231036_at	LOC100505774	 	 	 	 	1.621	5.34E-03
239514_at	LOC100505784	 	 	-1.216	2.29E-02	 	 
231434_at	LOC100505841	 	 	-1.281	2.06E-02	 	 
230641_at	LOC100505938	 	 	-1.564	5.73E-03	-1.866	5.65E-03
1559280_a_at	LOC100506013	-1.845	2.80E-02	-2.036	1.48E-03	-2.288	2.38E-03
241504_at	LOC100506047	 	 	 	 	1.353	4.85E-02
224842_at	LOC100506060	1.225	3.89E-02	 	 	 	 
244766_at	LOC100506060	 	 	1.526	8.86E-03	 	 
210057_at	LOC100506060	 	 	 	 	-1.911	4.73E-02
237039_at	LOC100506088	 	 	 	 	1.558	2.08E-02
238491_at	LOC100506161	 	 	 	 	-2.162	1.79E-02
232364_at	LOC100506235	1.654	1.02E-04	 	 	 	 
237543_at	LOC100506286	1.296	2.54E-02	 	 	 	 
239332_at	LOC100506373	-1.77	2.85E-02	 	 	 	 
209360_s_at	LOC100506403	1.241	4.08E-02	1.309	2.64E-02	1.586	3.03E-02
208129_x_at	LOC100506403	 	 	1.717	2.61E-02	 	 
210805_x_at	LOC100506403	 	 	1.576	1.81E-03	 	 
237697_at	LOC100506403	 	 	1.744	2.94E-02	 	 
1565836_at	LOC100506411	 	 	 	 	-1.638	2.30E-02
240887_at	LOC100506470	 	 	 	 	-1.908	1.96E-02
1564584_at	LOC100506557	 	 	 	 	1.502	1.86E-03
214741_at	LOC100506639	1.585	2.41E-02	 	 	 	 
237844_at	LOC100506639	 	 	-1.531	2.52E-03	 	 
225916_at	LOC100506639	 	 	 	 	-1.245	4.69E-02
225640_at	LOC100506710	-1.214	1.44E-03	 	 	-1.314	1.42E-03
1559970_at	LOC100506731	 	 	 	 	-1.156	2.74E-02
239440_at	LOC100506858	 	 	-1.396	2.23E-02	 	 
227115_at	LOC100506870	2.759	5.70E-04	2.35	4.56E-04	2.022	1.16E-02
1558858_at	LOC100506885	 	 	-1.464	5.48E-03	-1.666	3.44E-02
227917_at	LOC100506990	 	 	 	 	-1.513	3.00E-02
1559665_at	LOC100506999	 	 	1.198	3.11E-02	1.171	4.70E-02
236640_at	LOC100507165	1.559	2.03E-02	 	 	1.512	1.66E-02
226830_x_at	LOC100507217	 	 	-2.378	3.76E-02	 	 
228049_x_at	LOC100507303	 	 	-1.154	1.58E-02	 	 
1568682_a_at	LOC100507336	-1.199	2.97E-02	 	 	 	 
229189_s_at	LOC100507376	 	 	-1.19	2.27E-02	 	 
229190_at	LOC100507376	 	 	-1.436	1.32E-02	 	 
207414_s_at	LOC100507472	 	 	-1.374	3.00E-02	 	 
229006_at	LOC100507487	 	 	-1.327	8.64E-03	 	 
1556643_at	LOC100507535	 	 	-2.029	3.59E-03	-2.128	2.75E-02
221834_at	LOC100507577	 	 	-1.652	3.33E-02	 	 
1564166_s_at	LOC100630923	1.373	3.25E-02	 	 	 	 
1559535_s_at	LOC100996419	 	 	-1.596	3.64E-02	 	 
240103_at	LOC100996457	1.252	4.90E-02	 	 	 	 
1566473_a_at	LOC100996506	1.224	4.28E-02	-2.086	1.36E-02	 	 
1566471_at	LOC100996506	 	 	-1.454	4.00E-02	 	 
1561420_a_at	LOC101927051	 	 	1.355	2.29E-02	 	 
1563019_at	LOC101927071	1.327	1.03E-02	 	 	 	 
1570226_at	LOC101927124	1.281	2.42E-03	 	 	 	 
1562052_at	LOC101927159	 	 	1.305	3.76E-02	 	 
243897_at	LOC101927287	 	 	 	 	-1.869	1.94E-03
1563247_at	LOC101927526	 	 	 	 	1.351	3.15E-02
1563302_at	LOC101927534	 	 	 	 	-1.397	1.29E-02
237563_s_at	LOC101927626	 	 	 	 	1.338	6.34E-03
1562543_at	LOC101927660	 	 	 	 	1.798	7.47E-03
227092_at	LOC101927752	 	 	-1.228	8.73E-03	-1.346	1.90E-02
1568633_a_at	LOC101927809	 	 	-1.451	4.53E-02	 	 
230446_at	LOC101927811	 	 	1.615	3.41E-02	 	 
231459_at	LOC101927839	 	 	 	 	1.811	4.40E-02
1560240_at	LOC101927861	2.088	1.80E-02	 	 	 	 
1557598_at	LOC101927870	 	 	 	 	-1.363	4.96E-02
1568853_at	LOC101927929	-1.384	2.07E-02	 	 	 	 
1557778_at	LOC101927967	 	 	-1.136	3.01E-03	 	 
236075_s_at	LOC101928000	 	 	1.357	4.52E-03	1.51	4.91E-03
236074_at	LOC101928000	 	 	 	 	1.884	2.62E-02
236611_at	LOC101928000	 	 	 	 	1.386	1.57E-03
1560156_at	LOC101928054	-1.658	4.50E-03	-1.6	1.56E-02	-2.308	2.22E-03
241767_at	LOC101928087	 	 	1.317	3.04E-02	 	 
1569339_s_at	LOC101928123	 	 	 	 	2.212	4.88E-03
1557776_at	LOC101928303	 	 	 	 	1.227	2.30E-02
1562595_at	LOC101928314	1.106	2.44E-02	 	 	 	 
1564323_at	LOC101928405	 	 	 	 	1.3	3.52E-02
1561446_at	LOC101928443	 	 	-1.177	4.12E-02	 	 
1560625_s_at	LOC101928513	 	 	 	 	-1.53	3.34E-02
1561450_at	LOC101928618	 	 	 	 	1.423	2.63E-02
1561891_at	LOC101928668	1.289	3.69E-02	 	 	 	 
1560827_at	LOC101928725	-2.078	2.36E-02	 	 	 	 
1561216_at	LOC101928961	 	 	1.084	1.70E-02	 	 
243728_at	LOC101929109	-1.335	2.31E-02	 	 	-1.383	4.79E-02
244138_at	LOC101929154	 	 	1.61	1.89E-02	 	 
1562760_at	LOC101929288	 	 	-1.925	3.77E-02	-1.386	4.25E-02
231516_at	LOC101929365	 	 	1.323	3.76E-02	 	 
234345_at	LOC101929683	 	 	 	 	1.711	4.30E-02
1559497_at	LOC101929690	 	 	 	 	1.219	1.45E-02
1560495_at	LOC101929741	 	 	 	 	1.203	2.36E-02
240305_at	LOC101930421	 	 	 	 	1.84	8.10E-03
1563185_at	LOC101930566	-1.214	3.08E-02	 	 	 	 
239779_at	LOC101930595	-1.494	3.97E-02	 	 	 	 
228661_s_at	LOC102606465	1.56	9.41E-03	 	 	1.807	1.01E-02
1558412_at	LOC113230	 	 	 	 	-1.483	1.16E-02
233960_s_at	LOC115110	 	 	-1.523	3.77E-02	 	 
232190_x_at	LOC115110	 	 	 	 	1.311	4.21E-02
1565644_at	LOC143286	 	 	 	 	1.255	9.84E-03
230505_at	LOC145474	 	 	-1.212	1.40E-02	 	 
233382_at	LOC145845	 	 	-1.649	1.32E-02	 	 
229747_x_at	LOC146880	 	 	 	 	1.936	1.57E-02
225934_at	LOC148413	 	 	1.35	2.64E-02	 	 
232645_at	LOC153684	 	 	-1.346	2.68E-02	-1.342	8.96E-03
227868_at	LOC154761	-1.607	1.11E-02	-1.947	1.39E-02	-2.148	3.24E-03
236769_at	LOC158402	-1.363	1.01E-03	 	 	 	 
232179_at	LOC158863	 	 	 	 	-1.456	5.75E-03
1558685_a_at	LOC158960	-1.129	4.32E-03	 	 	-1.246	2.13E-02
1556898_at	LOC200830	-1.37	5.06E-03	 	 	 	 
1569582_at	LOC201651	-1.497	7.20E-03	 	 	 	 
232309_at	LOC202181	1.242	4.46E-02	 	 	 	 
210483_at	LOC254896	 	 	1.695	3.92E-03	 	 
215302_at	LOC257152	-1.716	2.42E-02	 	 	 	 
236076_at	LOC257396	1.827	1.61E-02	 	 	1.422	1.75E-02
1559990_at	LOC283070	-1.278	1.46E-02	 	 	 	 
1556319_at	LOC283270	 	 	-1.632	4.52E-02	 	 
242417_at	LOC283278	-1.242	1.70E-02	 	 	 	 
227415_at	LOC283508	1.551	3.28E-03	 	 	 	 
233737_s_at	LOC284561	 	 	-1.283	2.93E-02	-1.393	4.99E-03
1557474_at	LOC284578	1.337	3.54E-03	 	 	 	 
1559083_x_at	LOC284600	 	 	1.918	6.49E-03	 	 
230057_at	LOC285178	 	 	 	 	-1.222	2.84E-02
1562388_at	LOC285819	 	 	1.275	3.98E-02	 	 
243601_at	LOC285957	-1.106	1.24E-02	 	 	 	 
241370_at	LOC286052	 	 	 	 	-1.463	1.26E-02
1556421_at	LOC286189	-1.132	2.35E-02	 	 	 	 
1559264_at	LOC286190	 	 	-1.148	4.90E-02	 	 
238536_at	LOC286272	 	 	 	 	-1.675	2.19E-03
1561277_at	LOC339298	 	 	 	 	-1.411	4.03E-02
227940_at	LOC339803	 	 	 	 	-1.979	3.70E-02
227941_at	LOC339803	 	 	 	 	1.441	2.86E-02
240572_s_at	LOC374443	-1.82	7.38E-04	-2.089	9.12E-03	-2.83	1.71E-03
238790_at	LOC374443	 	 	 	 	-4.293	3.16E-02
235186_at	LOC388692	 	 	1.267	3.06E-02	 	 
230815_at	LOC389765	 	 	 	 	-1.642	3.61E-02
225062_at	LOC389831	1.358	4.65E-02	1.257	1.38E-02	1.451	1.16E-02
241625_at	LOC389834	 	 	 	 	1.288	2.15E-02
242577_at	LOC389834	 	 	 	 	-1.468	1.57E-02
214035_x_at	LOC399491	 	 	 	 	-1.292	3.85E-02
239337_at	LOC400768	 	 	1.669	1.17E-02	1.479	3.03E-02
1553796_at	LOC400940	 	 	 	 	1.839	2.94E-02
1565684_at	LOC400940	 	 	 	 	1.455	4.94E-02
1558859_at	LOC401320	 	 	-1.248	3.20E-02	 	 
223911_at	LOC440330	1.268	3.02E-02	 	 	 	 
210396_s_at	LOC440354	1.294	7.50E-03	 	 	 	 
214107_x_at	LOC440434	 	 	1.365	9.86E-03	1.311	7.05E-04
215090_x_at	LOC440434	 	 	 	 	1.349	2.49E-03
238727_at	LOC440934	-1.765	2.74E-02	-2.468	2.27E-03	 	 
227922_x_at	LOC441124	 	 	-1.496	8.29E-03	-1.5	1.57E-03
239665_at	LOC441179	-1.237	4.72E-02	 	 	 	 
1564232_at	LOC441528	 	 	 	 	-1.534	4.34E-02
216469_at	LOC441666	-1.245	2.92E-03	 	 	 	 
225029_at	LOC550643	 	 	 	 	-1.12	3.57E-02
238449_at	LOC595101	 	 	1.656	2.26E-02	-1.55	1.50E-02
228839_s_at	LOC642361	-1.391	3.83E-04	-1.495	2.47E-03	-1.434	1.21E-02
243656_at	LOC642852	 	 	 	 	-1.435	2.62E-02
229870_at	LOC644656	 	 	1.36	2.05E-02	 	 
238921_at	LOC644794	1.266	3.67E-02	-1.428	2.96E-02	 	 
1560251_at	LOC645485	 	 	 	 	1.149	1.89E-02
239556_at	LOC645513	 	 	-1.107	2.89E-02	 	 
1561761_x_at	LOC645513	 	 	 	 	1.227	1.25E-02
229566_at	LOC645638	 	 	-1.209	1.57E-02	 	 
1560007_at	LOC645984	1.424	4.35E-02	 	 	 	 
244268_x_at	LOC646214	 	 	-1.531	2.85E-02	-1.75	2.32E-02
236283_x_at	LOC646214	 	 	 	 	-2.064	3.14E-03
237662_at	LOC646522	1.423	2.84E-02	 	 	 	 
1568597_at	LOC646762	 	 	1.332	4.14E-03	 	 
1561252_at	LOC648691	 	 	-1.179	1.03E-02	 	 
231256_at	LOC727944	-1.403	3.65E-02	 	 	 	 
1559276_at	LOC728606	1.217	4.43E-02	 	 	 	 
229283_at	LOC728613	 	 	-1.601	4.23E-02	 	 
1568763_s_at	LOC728613	 	 	 	 	1.118	1.35E-02
1569811_at	LOC729307	1.357	3.61E-02	 	 	 	 
1563637_at	LOC729652	 	 	 	 	1.232	3.68E-02
1564426_x_at	LOC729732	 	 	 	 	1.886	3.13E-03
230327_at	LOC730098	 	 	 	 	1.482	3.51E-02
213248_at	LOC730101	 	 	 	 	-1.431	1.48E-02
241533_at	LOC731656	 	 	 	 	1.289	2.20E-02
215215_s_at	LOC81691	1.315	2.05E-02	1.737	2.46E-02	1.784	3.35E-03
208107_s_at	LOC81691	 	 	1.44	1.83E-02	1.599	5.86E-03
233830_at	LOC90246	 	 	 	 	-1.34	4.83E-02
225391_at	LOC93622	1.237	1.08E-02	1.096	1.51E-02	 	 
209017_s_at	LONP1	1.301	3.15E-03	 	 	1.251	2.81E-02
223098_s_at	LONP2	 	 	 	 	1.195	4.02E-02
223099_s_at	LONP2	 	 	 	 	1.258	3.60E-02
229663_at	LONP2	 	 	 	 	1.115	4.54E-02
215322_at	LONRF1	1.696	1.18E-02	1.482	1.60E-02	 	 
225996_at	LONRF2	2.292	1.23E-03	2.457	9.30E-05	2.869	1.49E-04
235977_at	LONRF2	2.134	1.66E-03	2.437	3.24E-02	1.752	2.23E-03
242931_at	LONRF3	 	 	-1.529	2.34E-02	 	 
215446_s_at	LOX	 	 	 	 	1.169	2.97E-02
241117_at	LOXHD1	1.386	2.85E-02	 	 	 	 
203570_at	LOXL1	1.516	1.43E-02	 	 	1.947	4.97E-02
202998_s_at	LOXL2	 	 	 	 	1.75	4.81E-02
228253_at	LOXL3	1.554	4.84E-03	2.25	4.39E-02	1.759	3.33E-02
227145_at	LOXL4	2.685	4.08E-03	2.156	3.54E-03	2.611	1.35E-03
206723_s_at	LPAR2	 	 	 	 	-1.293	4.00E-02
213615_at	LPCAT3	1.47	3.86E-03	 	 	 	 
47560_at	LPHN1	 	 	-1.319	1.85E-02	-1.298	3.00E-02
242186_x_at	LPHN3	-1.13	3.96E-02	 	 	 	 
202460_s_at	LPIN2	 	 	-1.408	1.47E-02	 	 
224811_at	LPP	 	 	 	 	-1.334	3.50E-02
64899_at	LPPR2	-1.14	1.61E-02	-1.174	4.07E-02	-1.332	1.46E-02
242825_at	LPPR5	-1.339	1.09E-02	 	 	 	 
212692_s_at	LRBA	 	 	-1.251	2.13E-02	-1.288	3.19E-02
214109_at	LRBA	 	 	-1.273	4.80E-02	-1.63	5.62E-03
235347_at	LRCH3	 	 	 	 	-1.183	3.00E-02
204692_at	LRCH4	 	 	1.163	2.30E-02	1.446	2.34E-02
37796_at	LRCH4	 	 	-1.275	2.01E-02	 	 
90610_at	LRCH4	 	 	 	 	-1.249	4.33E-02
230644_at	LRFN5	-1.285	2.92E-02	 	 	 	 
211596_s_at	LRIG1	1.41	1.58E-02	2.133	1.29E-02	1.703	1.74E-04
240140_s_at	LRIG1	 	 	1.207	2.95E-02	 	 
238339_x_at	LRIG1	 	 	 	 	1.212	2.22E-02
200784_s_at	LRP1	 	 	-1.351	1.42E-02	 	 
1569042_at	LRP1	 	 	 	 	1.49	1.56E-02
201412_at	LRP10	-1.236	1.79E-02	-1.455	9.36E-03	-1.55	6.49E-03
227252_at	LRP10	-1.445	2.57E-03	 	 	 	 
231861_at	LRP10	 	 	 	 	-1.206	4.09E-02
225060_at	LRP11	 	 	-1.183	3.83E-02	 	 
220253_s_at	LRP12	1.524	1.98E-03	 	 	 	 
219631_at	LRP12	 	 	 	 	1.853	4.34E-03
219643_at	LRP1B	-1.206	2.98E-02	 	 	-1.967	2.55E-03
207797_s_at	LRP2BP	-1.351	1.55E-02	 	 	 	 
205606_at	LRP6	 	 	1.276	2.06E-02	 	 
205282_at	LRP8	1.392	1.80E-02	1.636	4.75E-03	2.273	6.86E-03
228955_at	LRP8	1.758	6.02E-03	 	 	2.631	2.04E-03
208433_s_at	LRP8	 	 	1.585	1.01E-02	1.971	6.36E-03
201186_at	LRPAP1	 	 	 	 	1.173	1.88E-02
1557360_at	LRPPRC	1.576	2.20E-02	1.174	1.91E-02	1.478	3.23E-03
211615_s_at	LRPPRC	 	 	1.259	8.09E-03	1.307	2.14E-02
235113_at	LRR1	1.112	3.09E-02	 	 	 	 
218816_at	LRRC1	 	 	-1.289	4.02E-02	-1.305	4.36E-02
236666_s_at	LRRC10B	 	 	 	 	1.388	5.45E-03
219573_at	LRRC16A	-1.307	2.61E-02	 	 	 	 
230793_at	LRRC16A	-1.093	2.89E-02	 	 	 	 
219949_at	LRRC2	 	 	 	 	1.152	9.17E-04
228886_at	LRRC27	 	 	 	 	-1.414	1.35E-02
239471_at	LRRC28	 	 	1.395	4.33E-02	 	 
203835_at	LRRC32	-1.465	4.33E-02	 	 	 	 
220003_at	LRRC36	 	 	-1.528	2.33E-02	 	 
229821_at	LRRC37A4P	 	 	 	 	-1.775	1.55E-03
216149_at	LRRC37BP1	 	 	-1.286	2.17E-02	 	 
1558375_at	LRRC38	 	 	 	 	1.13	1.55E-02
215063_x_at	LRRC40	 	 	1.564	1.17E-02	 	 
201932_at	LRRC41	-1.093	3.46E-02	 	 	 	 
215765_at	LRRC41	1.943	3.39E-03	2.312	1.83E-03	2.269	4.59E-02
1553728_at	LRRC43	 	 	-1.39	5.55E-03	 	 
1553730_x_at	LRRC43	 	 	-1.627	4.51E-02	 	 
212904_at	LRRC47	 	 	1.207	4.06E-02	1.115	1.04E-02
219338_s_at	LRRC49	 	 	 	 	1.983	2.55E-03
225479_at	LRRC58	1.606	1.05E-02	 	 	 	 
