ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
201715_s_at	ACIN1	-1.499	8.24E-03	 	 	1.393	3.25E-02
212977_at	ACKR3	-1.859	4.04E-04	-1.899	1.18E-02	-5.669	3.57E-03
232746_at	ACKR3	 	 	 	 	-1.252	4.75E-02
201127_s_at	ACLY	 	 	 	 	1.322	3.86E-02
210337_s_at	ACLY	 	 	 	 	1.371	3.25E-02
204565_at	ACOT13	 	 	1.208	3.18E-03	1.435	4.46E-03
229534_at	ACOT4	1.235	2.16E-03	 	 	1.506	2.17E-02
208002_s_at	ACOT7	1.209	2.51E-02	1.337	4.21E-05	1.258	3.61E-03
215728_s_at	ACOT7	1.201	3.75E-02	 	 	 	 
221641_s_at	ACOT9	-1.216	4.95E-02	 	 	 	 
209600_s_at	ACOX1	-1.268	4.39E-02	 	 	-1.234	2.94E-02
213501_at	ACOX1	 	 	-1.304	6.08E-03	-1.561	3.91E-02
205364_at	ACOX2	3.435	4.08E-03	5.996	4.39E-03	3.91	7.26E-03
201629_s_at	ACP1	 	 	1.159	2.38E-02	1.304	1.74E-03
202767_at	ACP2	-1.162	4.01E-02	-1.202	4.25E-02	 	 
218795_at	ACP6	-1.093	4.30E-02	 	 	 	 
204393_s_at	ACPP	-2.491	1.36E-02	-1.994	1.69E-02	-3.046	6.18E-03
207427_at	ACR	-1.272	4.11E-02	 	 	 	 
238825_at	ACRC	-1.117	4.10E-02	 	 	 	 
206466_at	ACSBG1	-1.887	3.87E-02	 	 	 	 
207275_s_at	ACSL1	 	 	1.272	2.22E-02	1.325	1.93E-03
201662_s_at	ACSL3	-1.557	9.54E-03	-1.369	5.78E-04	-1.402	1.59E-02
222592_s_at	ACSL5	 	 	 	 	1.455	4.68E-02
205942_s_at	ACSM3	 	 	1.594	1.28E-02	 	 
89977_at	ACSM5	1.289	9.74E-03	 	 	 	 
1554514_at	ACSM5	 	 	 	 	-1.373	4.40E-02
224882_at	ACSS1	 	 	-1.316	2.67E-02	 	 
